femaleVariant,maleVariant,stringId,female_vo_path,male_vo_path,quest_path
V udaje się na miejsce spotkania.,,1734639643012578,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Napój] Bardzo się cieszę, że cię widzę.",,1734733486045460,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Pij] Cieszę się, że nie zmieniłeś zdania.","[Picie] Cieszę się, że nie zmieniłeś zdania.",1734733573905763,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Idą usiąść do baru i napić się drinka (jak w modzie Lizzie's Braindances: Places of Night City > Bar in Downtown),,1734736588881117,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Czekaj na Panama],,1734824689179729,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam przybywa na miejsce spotkania w pobliżu baru...,,1734885474362720,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Drink],,1734887593907139,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Picie] Więc, co robisz obecnie?",,1734887624815712,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Więc, co robisz obecnie?",,1734887658486519,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Dialog, jeśli możliwe jest nakłonienie V i Panama do dyskretnego zakątka i poproszenia V o pokazanie wzorca zachowania Aguilara...",,1734904017055777,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Pocałunek V i Panama,,1734910406863562,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Panam bierze kilka łyków, zanim odpowiada. Potem, kiedy mówi, wścieka się coraz bardziej...",,1734912057581613,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
ORAZ/LUB,,1734912403652319,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V otrzymuje wiadomość z Panamu,,1735040401780488,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Cześć V, jak się masz? Wiesz co, wczoraj myślałem o Tobie!",,1735040679408670,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Myślę o Tobie tylko raz dziennie, ale trwa to 24 godziny!",,1735040846812203,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Och, jesteś słodki! <3 <3 <3",,1735056244885189,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Saul chciał, żebyśmy zniszczyli wszystko, co mogłoby nas powiązać z tym gościem... Ale hej, na wszelki wypadek zachowałem przepustkę, myśląc o tobie...",,1735056295732630,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Nie wiem co mogłabym z tym zrobić i wtedy... Konpeki nie są dla mnie najlepszym wspomnieniem...,,1735056326435636,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
