femaleVariant,maleVariant,stringId,female_vo_path,male_vo_path,quest_path
V se dirige al punto de encuentro.,,1734639643012578,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Bebe] Estoy tan feliz de verte.,,1734733486045460,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Bebe] Me alegro de que no hayas cambiado de opinión.,[Bebiendo] Me alegro de que no hayas cambiado de opinión.,1734733573905763,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Van a sentarse al bar y tomar una copa (Como en el mod Lizzie's Braindances: Places of Night City > Bar in Downtown),,1734736588881117,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Espera a Panam],,1734824689179729,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam llega al punto de encuentro cerca del bar...,,1734885474362720,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Beber],,1734887593907139,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Bebiendo] Entonces, ¿qué estás haciendo estos días?",,1734887624815712,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Entonces, ¿qué estás haciendo estos días?",,1734887658486519,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Un diálogo, si es posible lograr que V y Panam vayan a un rincón discreto y que V le muestre la impronta conductual de Aguilar...",,1734904017055777,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V y panam se besan,,1734910406863562,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Panam toma varios sorbos antes de responder. Luego, cuando habla, se enoja cada vez más...",,1734912057581613,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Y/O,,1734912403652319,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V recibe un mensaje de Panam,,1735040401780488,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Hola V, ¿cómo estás? ¿Sabes qué? ¡Ayer pensé en ti!",,1735040679408670,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
¡Solo pienso en ti una vez al día pero dura 24 horas!,,1735040846812203,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
¡Oh eres lindo! <3 <3 <3,,1735056244885189,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Saúl quería que destruyéramos todo lo que pudiera conectarnos con este tipo... Pero bueno, guardé el pase pensando en ti por si acaso...",,1735056295732630,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
No sé qué podría hacer con él y luego... Konpeki no es el mejor recuerdo para mí...,,1735056326435636,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"¡Ok, eso es estúpido! Voy a destruir el paso, Saúl tiene razón.",,1735056379716323,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"¡No, espera! ¿Cómo funciona esto?",,1735056393052657,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Bueno, vas a su sitio, ingresas un nombre y la reserva está hecha…",,1735056411224054,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Ok… ¡quizás tenga una idea! ¿Quieres aprovecharlo?,,1735056425988329,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
¿Cómo es eso?,,1735056446949704,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"¡Nos vamos los dos! Pasamos una velada elegante en Konpeki. Esto podría ser bueno, ¿qué opinas?",,1735056484397280,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"¡Estás loco! Dada tu historia, ¡debes estar tostado allí!",,1735056494932607,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Sí, seguro, es un problema… ¡Déjame pensar en eso!",,1735056506194362,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"El pase tiene una validez de 48 horas… Dímelo rápido, porque después muere.",,1735056519235413,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Panam puede que tenga una solución para el plan Konpeki. ¿Podrías intentar registrar un nombre?,,1735058535475344,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Si quieres… ¿Qué nombre debo usar?,,1735058563071521,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Prueba con Aguilar Nubiola,,1735058593043166,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Pruébalo con Anders Hellman,,1735058645656583,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"¡Inteligente! Lo estoy intentando, espera...",,1735060913044546,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
Fue aprobado para grabación. ¡Debería ser bueno!,,1735060935091683,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
