femaleVariant,maleVariant,stringId,female_vo_path,male_vo_path,quest_path
Vは待ち合わせ場所に行きます。,,1734639643012578,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
【ドリンク】お会いできてとても嬉しいです。,,1734733486045460,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
[飲み物] あなたの考えが変わっていなくて嬉しいです。,[飲酒] 考えが変わっていなくてよかったです。,1734733573905763,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
彼らはバーに座って飲み物を飲みに行きます（MOD「Lizzie's Braindances: Places of Night City > Bar in Downtown」のように）,,1734736588881117,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[パナムを待って],,1734824689179729,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
パナムはバーの近くの待ち合わせ場所に到着します...,,1734885474362720,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[飲む],,1734887593907139,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
[飲酒] それで、最近は何をしていますか?,,1734887624815712,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
それで、最近は何をしていますか？,,1734887658486519,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
対話、V と Panam を目立たない隅に行き、V にアギラールの行動の痕跡を見せてもらうことができれば...,,1734904017055777,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Vとパナムがキス,,1734910406863562,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
パナムは答える前に数口飲みます。そして、彼女が話すと、彼女はますます怒ります...,,1734912057581613,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
および/または,,1734912403652319,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Vはパナムからメッセージを受け取ります,,1735040401780488,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
こんにちは、V、お元気ですか？昨日、私はあなたのことを思い出しました。,,1735040679408670,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
あなたのことを考えるのは1日に1回だけですが、それは24時間続きます。,,1735040846812203,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
ああ、かわいいですね！ <3 <3 <3,,1735056244885189,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
ソールは、私たちとこの男を結び付ける可能性のあるものをすべて破壊することを望んでいた...でも、ねえ、念のためにあなたのことを考えてパスを残しておきました...,,1735056295732630,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
それで何ができるかわからないし…紺碧は私にとって最高の思い出ではない…,,1735056326435636,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
わかりました、それは愚かです！パスを破壊するつもりだ、ソールは正しい。,,1735056379716323,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
待ってください！これはどのように機能するのでしょうか?,,1735056393052657,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
さて、サイトにアクセスして名前を入力すると予約が完了します...,,1735056411224054,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
わかりました…アイデアがあるかもしれません!ぜひ活用してみてはいかがでしょうか？,,1735056425988329,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
どうして？,,1735056446949704,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
二人とも行きますよ！紺碧で優雅な夜を過ごします。これはいいかもしれません、どう思いますか？,,1735056484397280,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
頭がおかしいよ！これまでの経歴を考えると、そこで乾杯するに違いありません。,,1735056494932607,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
そうですね、それは問題です…考えさせてください!,,1735056506194362,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
パスは 48 時間有効です…それを過ぎると無効になるため、すぐに教えてください。,,1735056519235413,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
パナム 紺碧計画の解決策があるかも知れません。名前を登録してみてはいかがでしょうか？,,1735058535475344,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
もしよかったら…どんな名前を付ければいいでしょうか？,,1735058563071521,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
アギラール・ヌビオラを試してみる,,1735058593043166,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
アンダース・ヘルマンと一緒に試してみる,,1735058645656583,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
頭がいい！頑張ってます、待ってください...,,1735060913044546,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
録音のために渡されました。それは良いはずです！,,1735060935091683,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
それで、何と言いますか？今晩は紺碧でやりますか？,,1735060982596671,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
よくわかりません...紺碧は私のスタイルではありません!,,1735061008088637,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
私は装飾で自分の役割を果たすつもりです...私はクソ適切な服さえ持っていません!,,1735061024059582,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
