femaleVariant,maleVariant,stringId,female_vo_path,male_vo_path,quest_path
V 前往集合点。,,1734639643012578,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[喝]很高兴见到你。,,1734733486045460,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
[喝]我很高兴你没有改变主意。,[喝酒]我很高兴你没有改变主意。,1734733573905763,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
他们去酒吧坐下来喝一杯（就像模组《Lizzie's Braindances: Places of Night City > Bar in Downtown》中的那样）,,1734736588881117,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
【等待巴拿马】,,1734824689179729,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
帕南到达酒吧附近的集合点......,,1734885474362720,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[喝],,1734887593907139,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
[喝酒] 那么，你这些天都在做什么呢？,,1734887624815712,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
那么，这些天你在做什么呢？,,1734887658486519,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
对话，如果有可能让V和Panam去一个隐蔽的角落，让V向她展示阿吉拉尔的行为印记……,,1734904017055777,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V和Panam接吻,,1734910406863562,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
帕南喝了几口才回答。然后她越说越生气……,,1734912057581613,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
和/或,,1734912403652319,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V收到来自巴拿马的消息,,1735040401780488,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
嗨，V，你好吗？你知道吗，昨天我想到了你！,,1735040679408670,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
我一天只想你一次，却持续了24小时！,,1735040846812203,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
哦，你真可爱！ <3 <3 <3,,1735056244885189,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
索尔希望我们毁掉所有能把我们和这个家伙联系起来的东西……但是，嘿，我一直想着你，以防万一……,,1735056295732630,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
我不知道我能用它做什么，然后... Konpeki 对我来说并不是最好的回忆...,,1735056326435636,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
好吧，那太愚蠢了！我要毁掉通行证，扫罗是对的。,,1735056379716323,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
不用等了！这东西是如何工作的？,,1735056393052657,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
好吧，你去他们的网站并输入一个名字，然后预订就完成了……,,1735056411224054,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
好吧……也许我有一个主意！您想利用它吗？,,1735056425988329,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
为何如此？,,1735056446949704,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
我们俩都去！我们在 Konpeki 度过了一个优雅的夜晚。这可能很好，你觉得怎么样？,,1735056484397280,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
你疯了！鉴于你的历史，你必须在那里干杯！,,1735056494932607,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
是的，当然，这是一个问题……让我考虑一下！,,1735056506194362,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
通行证的有效期为 48 小时……快点告诉我，因为在那之后它就失效了。,,1735056519235413,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
巴拿马 我可能对 Konpeki 计划有一个解决方案。你能尝试注册一个名字吗？,,1735058535475344,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
如果你想要……我应该使用什么名字？,,1735058563071521,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
尝试与阿吉拉尔·努比奥拉一起,,1735058593043166,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
和安德斯·赫尔曼一起尝试一下,,1735058645656583,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
聪明的！我正在努力，等等...,,1735060913044546,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
已通过备案。应该不错吧！,,1735060935091683,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
那你说呢？今晚我们在 Konpeki 吃吗？,,1735060982596671,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
我真的不知道...金白不是我的风格！,,1735061008088637,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
我要去装修了……我他妈的连合适的衣服都没有！,,1735061024059582,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
那不是问题。金碧是你管理的，衣服就由我来管理吧。我们在市中心见面，我们去购物吧！,,1735061039903586,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
还是很危险，你可能会被认出来！该死的，我们正在谈论荒坂！,,1735061055747094,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
听着，我们在市中心的这家酒吧见面，谈谈这件事，好吗？,,1735061077597131,MSG-OUT,MSG-OUT,Rendez-vous_files/{}/Rendez-vousDIC.csv
如果你想…,,1735061089758378,MSG-IN,MSG-IN,Rendez-vous_files/{}/Rendez-vousDIC.csv
[说] 那么，你这些天在做什么？,,1735142209504692,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
[喝酒]我还以为你和索尔和好了……,,1735142588439618,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
V坐在床上。 Panam 可以坐在 V 对面。（就像 Lizzie 的 Braindances：DollHouse mod 中一样）,,1735146101955345,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
过了一会儿，什么也没说……,,1735146120956956,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
帕纳姆来到床上，坐在 V 旁边。（如《莉齐的脑舞：娃娃屋》模组中那样）,,1735146139634145,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
说完最后一句话，Panam 弯下腰靠在床上（就像 Lizzie 的 Braindances: DollHouse mod 中那样） ,,1735146177514793,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
帕纳姆躺在他旁边……（如《莉齐的脑舞：娃娃屋》模组中那样）,,1735146190854713,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
帕纳姆很生气，第一句话就赶紧坐下！,,1735146208634254,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
愤怒的帕纳姆说着最后一句话就离开了！,,1735146218671463,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
任务结束,,1735146262371852,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
当帕纳姆说出她的最后一句话时，衣服消失了,,1735148577111890,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V的最后一句话他们全裸了,,1735148591380400,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[显性活动]哦，好的。,,1735148603319961,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
后来……他们还躺在床上，赤裸着。,,1735148655590069,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
巴拿马叶,,1735148670146144,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
V再次出现在关闭的金碧面前,,1735148683898389,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
