femaleVariant,maleVariant,stringId,female_vo_path,male_vo_path,quest_path
Ви идет к месту встречи.,,1734639643012578,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Пьет] Я так рада тебя видеть.,,"1,73473E+15",ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Пить] Я рад, что ты не передумал.","[Пьет] Я рад, что ты не передумал.",1734733573905763,ACTION,ACTION,D:/_CyberPunk-Creation/OutilsDialogues/Principal-Playlist/data/projet/Rendez-vous_files/{}/Rendez-vousDIC.csv
Они идут в бар и выпивают (Как в моде Lizzie's Braindances: Places of Night City > Bar in Downtown),,1734736588881117,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Ждать Панама],,1734824689179729,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
Панам прибывает на место встречи возле бара...,,"1,73489E+15",COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
[Напиток],,1734887593907139,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"[Пьет] Итак, чем ты занимаешься в эти дни?",,1734887624815712,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Итак, чем ты занимаешься в эти дни?",,1734887658486519,ACTION,ACTION,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Диалог, если возможно заставить Ви и Панам пойти в укромный уголок и заставить Ви показать ей поведенческий отпечаток Агилара...",,1734904017055777,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Ви и Панам целуются,,1734910406863562,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
"Панам делает несколько глотков, прежде чем ответить. Потом, когда она говорит, она злится все больше и больше...",,1734912057581613,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
И/ИЛИ,,1734912403652319,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
Ви получает сообщение от Панама.,,1735040401780488,COMMENT,COMMENT,Rendez-vous_files/{}/Rendez-vousDIC.csv
